BRON:
KONINKLIJK NEDERLANDS METEOROLOGISCH INSTITUUT (KNMI)

SOURCE:
ROYAL NETHERLANDS METEOROLOGICAL INSTITUTE (KNMI)

# Central Netherlands Temperature v6
# mean of De Bilt, Winterswijk/Hupsel, Oudenbosch/Gilze-Rijen, Gemert/Volkel, Deelen, Eindhoven
# breaks have been corrected to modern observations.
# CNT [Celsius]

YEAR,       Jan,          Feb,          Mar,          Apr,          May,          Jun,          Jul,          Aug,          Sep,          Oct,          Nov,          Dec    
 1980   0.07763       4.83491       4.68119       7.76407      12.05150      14.85580      15.69620      17.11950      15.14770       9.07743       4.54357       3.18203
 1981   2.07763       1.25158       8.28119       8.43074      13.50150      14.73910      16.44620      16.61950      14.58100       8.49410       6.24357      -0.40131
 1982   0.87763       2.78491       5.19786       7.74740      12.90150      16.43910      18.86280      17.10280      15.96430      11.07740       7.94357       3.21536
 1983   5.84429       0.53491       5.54786       8.71407      10.88480      16.53910      20.36280      18.23620      14.08100      10.21080       5.86024       3.53203
 1984   3.16096       1.91825       3.71452       7.83074      10.51120      13.70670      15.92800      17.80390      13.25360      11.39160       7.97076       4.05597
 1985  -3.47568      -1.03901       3.98082       8.50243      13.34460      13.60670      17.24470      15.67050      14.03700      10.04160       2.40409       5.52264
 1986   2.22432      -3.80568       4.23082       6.15243      13.52790      16.45670      16.99470      15.48720      11.15360      11.32500       7.63742       4.57264
 1987  -3.29234       1.94432       2.18082      10.83580      10.16120      13.92330      16.81140      15.97050      14.82030      10.74160       6.45409       4.00597
 1988   5.75466       4.20772       4.83791       8.73394      14.41910      14.82820      15.93430      16.61530      13.72210      10.71470       5.76243       6.61642
 1989   4.18799       5.02439       8.20458       7.03394      14.71910      15.67820      17.96760      17.19860      15.30540      12.14810       5.12910       4.66642
 1990   5.35466       7.40772       8.17124       8.55060      14.06910      15.06150      16.73430      18.49860      12.63870      11.88140       5.76243       3.58309
 1991   2.90903      -1.06367       8.52553       8.22680       9.99437      12.81230      18.92780      18.03680      15.22470      10.03080       5.22697       3.46527
 1992   2.27570       4.63633       6.70887       8.52680      15.54440      17.02900      18.22780      17.93680      14.52470       7.61410       7.64363       3.51527
 1993   4.86667       1.80000       5.63333      11.23330      14.58330      16.13330      16.23330      15.03330      12.91670       8.90000       2.15000       5.00000
 1994   4.85000       1.38333       7.31667       8.31667      12.46670      15.40000      21.50000      17.78330      13.48330       9.21667       9.76667       5.11667
 1995   3.43333       6.45000       5.11667       9.08333      12.85000      14.73330      20.31670      19.61670      13.96670      12.66670       6.25000      -0.78333
 1996  -0.18333       0.35000       2.96667       9.30000      10.78330      15.78330      16.33330      17.26670      12.31670      10.36670       5.43333       0.15000
 1997  -1.53333       6.16667       7.90000       7.56667      12.76670      15.93330      17.26670      20.43330      14.03330       9.48333       6.25000       4.61667
 1998   4.33333       5.88333       7.21667       9.18333      14.90000      15.76670      16.20000      16.53330      14.88330       9.58333       3.35000       4.08333
 1999   4.96667       2.78333       7.06667       9.78333      14.08330      15.01670      19.10000      17.36670      17.53330      10.41670       6.15000       4.31667
 2000   3.96667       5.55000       6.63333      10.11670      14.88330      16.21670      15.35000      17.40000      15.63330      11.13330       7.65000       4.86667
 2001   2.50000       4.33333       5.08333       8.18333      14.48330      15.11670      18.58330      18.58330      13.15000      14.10000       6.41667       2.40000
 2002   4.06667       6.90000       6.90000       9.16667      13.45000      16.73330      17.55000      18.60000      14.45000       9.48333       7.75000       2.90000
 2003   2.18333       1.56667       7.40000       9.86667      13.50000      18.35000      18.91670      19.45000      14.36670       7.28333       7.88333       3.78333
 2004   3.23333       4.46667       5.71667      10.45000      12.20000      15.63330      16.81670      18.91670      15.20000      11.25000       5.80000       2.71667
 2005   4.72366       2.01131       6.51613      10.33333      12.78656      17.05722      17.87366      16.00484      15.66667      13.23978       6.33833       3.56075    
 2006   1.00430       2.36012       3.82204       8.74500      14.44140      16.86667      22.58656      16.01344      17.82167      13.65054       8.86611       6.12204    
 2007   6.64731       5.84107       7.61828      12.96167      14.21828      17.49667      16.95591      16.94839      13.59333       9.78763       6.38111       3.46882    
 2008   6.14785       4.88276       5.66720       8.63389      15.59462      16.39056      17.89462      17.30000      13.36111       9.74516       6.47833       2.05753    
 2009   0.05269       2.99881       5.93065      12.36389      14.03763      15.68056      18.05000      18.48333      14.85778      10.32957       9.35722       1.93817    
 2010  -0.82312       1.40000       6.16882       9.54611      10.48763      16.89111      20.28710      16.73118      13.33444      10.05484       5.68889      -1.71720    
 2011   3.13495       4.43512       6.05645      13.02111      14.28226      16.40056      15.90484      17.04140      15.71889      11.21398       6.96722       5.91129    
 2012   4.46559       0.36724       8.17097       8.31944      14.53333      14.95000      17.19839      18.59247      13.84389      10.24140       6.64111       4.65538    
 2013   1.78495       1.26607       2.16452       8.28222      11.55215      15.62833      19.42527      18.16667      14.29889      12.08441       6.34722       5.60376    
 2014   5.40054       6.36905       8.32527      12.04556      13.17419      16.11667      19.63065      15.87312      15.69167      13.27043       8.07111       4.32419    
 2015   3.52419       2.96488       5.89946       9.00889      12.40806      15.89389      18.58817      18.79032      13.31944       9.72957       9.57056       9.37688    
 2016   4.44624       4.28678       5.12903       8.56889      14.58548      17.06056      18.43387      17.90591      17.33611       9.65215       5.34246       4.35161    
 2017   0.93280       5.11369       8.66613       8.28889      15.28172      18.50444      18.15753      17.44677      13.71833      13.04624       6.70667       4.59247    
 2018   5.44355       0.18690       4.65645      12.45889      16.71935      17.79889      21.43602    
